Actual,Predicted,Probability
0,0,0.43551714422856774
0,1,0.5783702833833918
0,0,0.447278763606552
0,1,0.5271387965151014
0,0,0.40935316063850197
0,1,0.5798783072349557
0,1,0.5453947428171307
0,0,0.30660410615715106
0,0,0.22395434749364554
1,1,0.5436461940036915
0,1,0.5507584170231224
0,0,0.42831808706301
0,0,0.4592070689947941
1,1,0.5766011570924223
0,0,0.4355873051144609
0,0,0.4583681514291624
0,0,0.2630365393942661
0,1,0.6128684335649818
0,1,0.5173401489148911
0,0,0.3961496699530519
1,1,0.6087418910526445
0,0,0.4870296830965071
0,0,0.2695038511060433
0,0,0.27384571661412543
0,0,0.47550571376305006
0,1,0.5004314618819977
1,1,0.5734789884345083
1,1,0.5959105516962082
0,0,0.292077902926349
1,1,0.6426235309357555
0,1,0.5678242000733821
0,1,0.5091991228184852
0,0,0.2583590889371364
0,0,0.23689184129666055
1,1,0.6440610575916847
0,1,0.5005862824794982
1,1,0.5286902725549555
0,0,0.23665632208184648
1,1,0.6384899473002225
1,0,0.48776093042528507
0,0,0.23344915201538602
0,1,0.6483850719628692
0,1,0.520855076008718
0,0,0.35891764414597904
0,0,0.4397085135969373
1,1,0.581354132594262
0,1,0.6188594901238431
0,1,0.5506092644174363
0,0,0.25454359064889537
1,1,0.5071309280284395
0,0,0.24013307768312903
1,1,0.6392274723926216
0,0,0.3458322841422839
0,1,0.5055138116933511
0,1,0.5037948488583194
1,1,0.5855740464893051
0,0,0.440658908741604
0,0,0.48000441306571806
0,0,0.38783503671161945
0,0,0.23911543437051966
0,0,0.3474899550300836
1,0,0.30492144245132885
0,0,0.48956024690065864
0,0,0.465996152290653
1,0,0.4852229048968351
1,1,0.5658375955953201
1,0,0.4959740779332695
1,1,0.5117012646508348
1,0,0.47499436661235006
1,1,0.6071699039969694
0,0,0.2356574740615935
0,0,0.2763345994633315
1,1,0.5899189644098052
0,0,0.4847874248639993
0,0,0.43282098559739873
0,0,0.2741262277517922
0,0,0.4500648789597695
1,1,0.5676341353421293
0,0,0.3635482904941875
0,0,0.23992462362791683
0,0,0.26184070346447413
0,0,0.4060951863662496
1,0,0.4907919948927194
1,1,0.656731066504086
0,0,0.29122829629016667
0,1,0.5424730901153634
0,1,0.5907303236136155
1,1,0.5109652571933011
1,1,0.5645145818890295
0,0,0.4438051975371576
1,1,0.560649506479006
0,1,0.507961296234677
0,0,0.25539913158598515
1,1,0.5915931897380718
1,1,0.5126871352404135
0,0,0.3602243176633088
0,1,0.5229941380828981
0,0,0.25181902690983843
1,1,0.5652886636432509
0,0,0.3374820300740074
1,1,0.6168819474796349
1,1,0.6098097685498364
0,1,0.5748588567851577
1,1,0.5268098620068061
1,1,0.5163071168909684
0,0,0.22897840366681171
0,0,0.4784779172170235
0,0,0.4405468516972599
0,0,0.45596814386280743
0,0,0.3009914224914856
0,0,0.2618581465289779
0,1,0.5869826107740995
0,0,0.4594243344744036
0,1,0.5248281840500902
1,1,0.5597086975171153
0,0,0.4262858555677869
1,1,0.5795498970537538
0,1,0.551997087622415
0,0,0.4315685361818827
0,0,0.24640875684238875
0,0,0.4345378273403809
1,1,0.5916156508027577
0,0,0.3618131796269449
0,0,0.3872273728903386
1,1,0.6275763230842613
0,0,0.40746369519294345
1,1,0.5395002876007808
0,0,0.46861626165615217
1,1,0.5895246087953072
0,0,0.300957247542302
1,0,0.36437353154770863
1,0,0.48212567307129445
0,0,0.4786062035174909
0,1,0.5012269950734588
0,0,0.42592889416506524
0,0,0.4680232942119688
0,0,0.2770433773969367
0,0,0.40193546905260435
0,0,0.3706351015396772
1,1,0.5346918219531512
0,0,0.44558802632623534
